gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi	region
AMER1	367.125317812892	37.7477368921693	40.4618328771793	51.392356257431	0.443362223399589	0.802895454979929	3.83829701508841	37.6549274564398	0.920159646337133	0.962296746219363	0.190660250554002	0.10716870496867	0.226420156085769	0.110212592033222	0.140443790099091	-0.165057236560997	0.385482420627442	0.0104550049502296	0.10257259226146	-0.190587275882233	0.211497285782692	NPX
AMMECR1	711.581710551721	51.6764250793779	5.35316736745269	75.4399138941907	0.944367546943888	0.974563414719285	-54.9130961407099	55.2744550332828	0.336241344484116	0.790180086669764	0.104521903010701	0.209660270452882	0.362905929980692	0.00752291309356748	0.10601862645084	-0.200273594750078	0.215319420937213	-0.0771704715374617	0.0778801999550713	-0.229815663449401	0.075474720374478	NPX
AP1S2	1093.30315546321	75.295497221405	142.970643034859	114.408642896201	0.230575290458433	0.653802303865689	46.8279072183757	83.8266517119121	0.584659239102699	0.878007428757015	0.188497076301994	0.109115881142662	0.228295848410132	0.130769441504343	0.105031768924464	-0.0750928255876074	0.336631708596293	0.0428315851686496	0.0767295565185573	-0.107558345607723	0.193221515945022	NPX
APEX2	1102.96848821128	58.4204603675587	42.5055724933069	88.4561524323263	0.637785704249968	0.883975973193537	-83.3011014842989	64.8113891924038	0.218183818797153	0.766487988368487	0.0464666393242639	0.31329143319407	0.450095359022147	0.038537431438535	0.0802242308686695	-0.118702061064057	0.195776923941127	-0.0755244618270018	0.0588968772573702	-0.190962341251447	0.0399134175974437	NPX
APOO	295.813508727131	38.8822762130901	15.0957322300913	60.8843092760192	0.807541956995443	0.952065767597145	4.7877084776852	44.6096348947312	0.915953856181991	0.962296746219363	-0.182383244633729	0.972772355681919	0.975034616974202	0.0510312470010156	0.205929179963465	-0.352589945727375	0.454652439729406	0.0161848878987523	0.150818242380743	-0.279418867167504	0.311788642965009	NPX
APOOL	739.175324023853	49.164711114598	-18.115004595901	74.4007731990997	0.810933001084139	0.952065767597145	-18.5654046643148	54.5130817408289	0.738151826321231	0.927691119262864	-0.057290000670515	0.580723652645032	0.672827672822605	-0.024507047255431	0.100666954590524	-0.221814278252858	0.172800183741997	-0.0251163750478712	0.0737674325252272	-0.169700542797317	0.119467792701574	NPX
ARAF	1953.89605934766	119.476429856231	120.443600823837	103.272013751877	0.261712154215565	0.662928857457263	-16.3745379025388	75.6668981400346	0.831589183041276	0.946314725075013	0.669641350185752	0.000177342073058577	0.00402286492043403	0.061642788134825	0.0529886394397528	-0.0422149451670906	0.165500521436741	-0.00838045495009889	0.0387295537806327	-0.084290380360139	0.0675294704599413	NPX
ARHGAP4	4617.28702102148	277.59461377241	-450.690611746571	350.433254030448	0.217908230152372	0.638901001331104	-70.6855925239433	256.760727076659	0.786843717039006	0.942681510381119	0.312524853188637	0.0348891006516087	0.0998454819633292	-0.0976093991330139	0.0761224567637881	-0.246809414390039	0.0515906161240107	-0.0153089015697156	0.0556161858278747	-0.12431662579235	0.0936988226529188	NPX
ARHGEF6	1954.99303742394	104.359438502292	-116.649989645574	147.301511387028	0.440755802860704	0.802895454979929	141.670541827346	107.927095183547	0.209030926791943	0.766487988368487	0.073912621913105	0.260396167252581	0.402260745827464	-0.0596677263870366	0.0754136023890202	-0.207478387069516	0.088142934295443	0.0724660083772075	0.0553412331429478	-0.0360028085829702	0.180934825337385	NPX
ARHGEF9	231.688785967549	19.7019390850106	9.64907461687261	24.2182349352572	0.695932901019438	0.900741983001134	16.5360601028539	17.7445819966323	0.3661492127036	0.80981658528061	0.300655023156355	0.0393123494545675	0.109313694289797	0.041646705413805	0.104589139220966	-0.163348007459289	0.246641418286899	0.0713718621891783	0.0768281047868166	-0.0792112231929822	0.221954947571339	NPX
ARMCX1	80.2335501290864	13.9234287121855	29.8107101505921	21.8205974730843	0.192017892604626	0.604085486953241	-16.8721743433366	15.9878447835588	0.307984324824324	0.783402382736241	-0.0618152276265127	0.594689823213866	0.687161699209588	0.371549184881265	0.279502170701771	-0.176275069694207	0.919373439456736	-0.210288268638135	0.202580308212407	-0.607345672734454	0.186769135458183	NPX
ARMCX2	125.044039375144	19.6740588600552	14.8846541196244	29.7114428555568	0.623660795399493	0.883975973193537	-16.3815499083245	21.7694285069948	0.46339529968279	0.831861543993861	-0.0487093129857832	0.554702343192089	0.647904362915421	0.119035295036887	0.238344799886946	-0.348120512741526	0.586191102815301	-0.13100624380166	0.175310048169382	-0.47461393821365	0.212601450610329	NPX
ARMCX3	1604.89412334363	84.8940411160428	255.083196806989	132.62481919191	0.0736293800735556	0.401699529262056	-66.660330743357	97.1735547710508	0.503183857681323	0.859444865914956	0.0823772176592596	0.245521086942466	0.397818001775198	0.158940825501654	0.083064321545685	-0.00386524472788885	0.321746895731197	-0.0415356563238434	0.0605881151390766	-0.160288361996434	0.0772170493487467	NPX
