gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi	region
AP1S2	8781.01679394966	1207.78337741673	970.069254280806	753.889330017734	0.20288859301119	0.622959711769844	436.955755933137	703.941180518815	0.537018083587322	0.986207762479453	0.615271483436316	3.71856064017364e-12	1.16991638602386e-11	0.110473453934083	0.0871887346068031	-0.0604164658952512	0.281363373763417	0.0497614076121811	0.0804578998523595	-0.107936076098444	0.207458891322806	NPX
APEX2	665.156318486682	51.6064761430376	-29.810468854142	34.0939509072883	0.385241976486049	0.791778735591929	-26.7467326342926	31.8350918292775	0.403993094702024	0.986207762479453	0.611726373419979	4.89681760762293e-12	1.52885374161662e-11	-0.0448172377313723	0.0513748567109477	-0.14551195688483	0.0558774814220852	-0.0402111983167279	0.0479626419337776	-0.134217976506932	0.0537955798734762	NPX
APOO	76.7470342119518	7.53333608083645	1.79268097422317	6.61630080241647	0.787315932477964	0.957511650900173	-3.65032050940261	6.17794470895493	0.556725964788041	0.986207762479453	0.261666975277892	0.00050340199897972	0.000625809779886643	0.0233583094464906	0.0862396890950931	-0.145671481179892	0.192388100072873	-0.047563017214731	0.0806327778207034	-0.20560326174331	0.110477227313848	NPX
APOOL	554.371602186482	48.8551862135263	15.5336689289414	42.070622691864	0.713195589864596	0.939932525152466	36.3676584642111	39.2832775630021	0.35809336718674	0.986207762479453	0.271974177817339	0.000347191566331913	0.000440997983322212	0.0280203186232402	0.075929013317651	-0.120800547479356	0.176841184725836	0.0656015898375284	0.0710963579909522	-0.0737472718247379	0.204950451499795	NPX
ARAF	3944.55396194068	232.423807449906	-142.81789395024	141.499422912483	0.316683128570671	0.744484293156441	-86.6949027319595	132.124526560684	0.514110282962074	0.986207762479453	0.640786661933384	4.71628593905747e-13	1.69207100796009e-12	-0.0362063481266142	0.035935478948272	-0.106639886865227	0.034227190611999	-0.0219783791953264	0.0335204541289323	-0.0876784692880336	0.0437217108973808	NPX
ARHGAP4	12124.3294556315	892.76486313264	-753.850795774664	514.864247177172	0.148118727348134	0.542558015622293	-448.995807587932	480.752454682312	0.353898734936869	0.986207762479453	0.704182795669112	1.30638019405154e-15	7.77621194710387e-15	-0.0621767000421221	0.0427114683088595	-0.145891177927487	0.0215377778432426	-0.0370326300708848	0.0397455327921087	-0.114933874343418	0.0408686142016482	NPX
ARHGAP6	890.09837099167	99.1792915687715	-21.1466717438806	97.6711707623212	0.829290692411974	0.957511650900173	-180.934570591252	91.2000694418447	0.051624600014587	0.637083312472933	0.121951707349484	0.0363924835380393	0.0389647271388955	-0.0237576794128056	0.109762686628504	-0.238892545204674	0.191377186379063	-0.203274802525108	0.10493429412338	-0.408946019006933	0.0023964139567163	NPX
ARHGEF6	4897.9922422393	471.652837468871	296.232787429931	395.277889258024	0.45638792154081	0.841331651163665	236.791287592984	369.089165900164	0.523489024867883	0.986207762479453	0.308081119671625	8.86767490010953e-05	0.000119698978024581	0.0604804525567188	0.0809118990232056	-0.0981068695287642	0.219067774642202	0.0483445615840187	0.0754988597751247	-0.0996332035752258	0.196322326743263	NPX
ARHGEF9	346.114623086373	22.9021860256164	1.98258678424408	22.7990181583618	0.930979663557402	0.981601104196519	-3.02866126849	21.288493042725	0.88732270035704	0.986207762479453	0.0228565562337546	0.30924897716316	0.313076315989437	0.00572812199197179	0.0658723846404182	-0.123381751903248	0.134837995887191	-0.00875045741056192	0.0615097857225691	-0.129309637426797	0.111808722605673	NPX
ARMCX1	137.640245785333	10.3612295861583	-19.4638608094179	8.63334488786132	0.0276503136492338	0.235603714219513	-16.0767098633158	8.0613516469907	0.0504516443738891	0.637083312472933	0.423634898773734	5.40103531869509e-07	9.166072387329e-07	-0.141411116337109	0.0636208804757883	-0.266108042069654	-0.0167141906045637	-0.116802391419654	0.0592245949582208	-0.232882597537767	-0.000722185301541001	NPX
ARMCX3	853.065985492867	60.9236876621097	-55.4924669239609	57.1398145171208	0.3351776853082	0.757390460171569	-80.2414523662122	53.3540758361204	0.137593138627166	0.821766618927664	0.214024260282146	0.00253472717298216	0.00292854071680708	-0.0650506149203682	0.0671426225518167	-0.196650155121929	0.0665489252811926	-0.0940624215837793	0.062903633040498	-0.217353542343155	0.0292286991755968	NPX
ARMCX3-AS1	15.7703751647388	2.77855603623789	0.326532598323179	2.5284086928965	0.897653947353001	0.96669997097032	1.24993327109017	2.36089161796431	0.598366040967079	0.986207762479453	0.190860669400422	0.00524511652869379	0.00595903516732156	0.0207054426360939	0.160367975560489	-0.293615789462464	0.335026674734652	0.0792583092052818	0.150354101503369	-0.215435729741321	0.373952348151885	NPX
ARMCX5	258.847925127513	22.2886904422704	8.25053829414895	16.8489749229273	0.626064005197555	0.908014816048936	-6.80860498318377	15.7326637021091	0.666660738520964	0.986207762479453	0.462154308857152	7.39304777387145e-08	1.34549918448474e-07	0.0318740754444317	0.0651500135259502	-0.0958199510664306	0.159568101955294	-0.0263034945318945	0.0608217487294129	-0.145514122041544	0.0929071329777547	NPX
ARMCX5-GPRASP2	108.19858610199	8.41133110701551	-2.55601752864913	6.12084651035264	0.677665117130129	0.93547725436654	-7.53278846523645	5.71531622309968	0.192275940233278	0.899460456305531	0.54824140951266	4.47078485379887e-10	1.08198284331582e-09	-0.0236233912173286	0.0566002865567999	-0.134559952868656	0.0873131704339992	-0.069620026810109	0.0530990148658438	-0.173694095947163	0.0344540423269448	NPX
ARMCX6	588.456572341972	50.252868568377	3.66062792774211	34.8705172345597	0.91672699246289	0.975611277909364	-28.1268150487789	32.5602075663018	0.390952719077178	0.986207762479453	0.576523126720564	6.55681787254999e-11	1.7643016512322e-10	0.00622072740758649	0.0592599693767901	-0.109928812570922	0.122370267386095	-0.0477976054151936	0.0554818918617457	-0.156542113464215	0.0609469026338279	NPX
